siren,nom,adress_siege,code_postal_siege,code_NAF,activité
800370389,CACHOU,3076 AV DE LA RESISTANCE,83000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
850001132,PAULETTE B,8 AV DE LA REPUBLIQUE,13610,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801024951,EDM,6 RUE DU TERRAL,12000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
750878134,KID QUIMPER,149 RTE DE BREST,29000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
807812961,URBAN STOCK,RUE EMILE ZOLA,83000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
808189971,EURL HZJA,CTRE COMMERCIAL CARREFOUR,04000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
808261341,,82 RUE DE DUNKERQUE,62500,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
800492472,,7 RUE PAUL LANGEVIN,26200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
805086006,SARL KIM,17 RUE DE PARIS,97400,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
920091741,,60 RUE FRANCOIS 1ER,75008,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
807884598,LI SIS,280 BD DE LA PLAGE,33120,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
491701363,ADELI,41 RUE DE BETHUNE,59800,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
920142981,,12 BD VINCENT AURIOL,75013,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
804031219,EURL AKINA,63 RUE PAUL DOUMER,76600,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
804115749,ELISABETH VICTORIA BLUE CONCEPT,LABROUSSE,97190,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
533547535,JUSTE UNE ALCHIMIE,8 TSSE CHAMPAGNE,57400,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
805232113,SARL ITALIA SHOPPING,2382 RTE NATIONALE 7,06270,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
805222593,LE BOUDOIR DES GAZELLES,39 RUE DU PRESIDENT SARRAUT,76480,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
809938418,LE PALAIS DES DEESSES,40 AV HENRI BARBUSSE,93700,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
809975220,MAISON CELESTE,120 BD DE LA CORDERIE,13007,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
810483099,DENIN FASHION,45 RUE BOURSAULT,75017,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
911461606,LINGERIE CAMELEON,11 AV BOULOUMIE,88800,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
413735614,CLARA'M,15 RUE DES CLERCS,57000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803805142,PERROUSSET LINGERIE,8 GRANDE RUE,71100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
809148448,JAD,23 CRS FRANKLIN ROOSEVELT,69006,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
920306503,,RUE NEIL ARMSTRONG,97110,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
811573831,HEAVENKING,112 AV KLEBER,75116,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
488998733,EULALIE TEXTILE,32 AV DE VERDUN,34120,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
522756428,MULTI FASHION,70 RUE FREBAULT,97110,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
395284433,,16 RUE DU 9 SEPTEMBRE,20110,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
809330681,POLYGONE,12 RTE D ISSENHEIM,68500,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
809372915,LOOK-ILI,BRIGNOL,47300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
805401130,"CULTE, CREATION D'UNIVERS SUR MESURE",8 RUE THOLOZE,75018,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
793959644,NEW MYSTIK,11 BD LEON JEAN GREGORY,66300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
808740484,BRABUS,25 RUE DU DESSOUS DES BERGES,75013,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
808049613,,1 LE BOURG,22870,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
514090257,VIYATI'S,90 AV DU GENERAL LECLERC,92340,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
812224442,KDO SURPRISE,70 RUE URBAIN IV,10000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
813675824,LA MAILLE D'OR,21 RUE D AUXONNE,21000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
